reviewId,userName,content,score
bbd688bd-a35e-45f7-b4e2-686347ce93dc,Priyesh Kumar,fully fraud. Nothing good to say about this system and application. Just useless and money gobbler.,1
5ce654af-a847-4ada-acdc-b9ea0bd1a8f9,Devanand Rai,doesn't open,1
96fa19d3-7ce6-4ba3-9a4d-c21e77e0cc7b,Nadim Ghanchi,bhai 4 din se log in nai ho rha hai thodi sharam krlo yaar. hadd hai,1
3b8d8c76-ae9e-4fec-8f05-8ec47a434cb2,Ankit Kumar,very poor service even I can't create account,1
58bfebdc-3809-42a0-910d-45dbbf7fc66e,Aditya Yadav,App has good UI however bit slow in payment processing while booking Tatkal ticket even with wallet it keeps rotating unless all tickets are booked. Recently booke a Tatkal ticket with wallet payment. Afterward train got cancelled and o got refund without wallet transaction charges it should be refunded fully as train cancellation was not due to mine fault.,5
e40ee770-82bc-4400-af92-741a0fff2eda,Mohdyahiya Shaikh,properly nahi chal Raha hai,1
fbac48ef-5083-4ee6-852d-c4bc132a5135,Shohin S Kumar,"The worst app that is developed. It asks for me to change my password. Once the otp is sent to my mail, the moment I switch to mail and comes back, the password reset page in the APP is refreshed and asks again to change the password. What a terrible App. Basically this process is now a never ending loop",1
bd2da214-c8ed-4064-8e15-4ec122b79110,Tapas Maji,Good,5
a4c95261-ab0e-47f5-865b-de6f685fc393,Shamim Akhtar,The app is malfunctioning since last 10 days. it's not opening and everytime I've to uninstall and install to open it.,1
8d369207-fdf8-4720-9add-4ccff3edd881,Anshul Mishra,very bad service,1
1e8f4670-32d8-40c5-b1df-d1a182b116ba,monill shah,not able to log in on mobile app since 4 days complain not twitter n on the equery no solution yet .... have to uninstall n reinstall to log in,2
53a7d499-f400-4fff-b319-53574bff2d25,Nilesh Kulkarni,third class railway,1
0c038847-75cb-45a0-a31c-8dc3c922c59d,Pallavi Verma,"The app is not working properly, every time it has some issues, after the maintenance yesterday I faced login issues. I had gotten less refund from irctc due to their technical glitches and site problems. I was not able to cancel the ticket before due to the login issues in the application and website both. I have contacted their support and query feature as well but no response even after sending mails or raising queries.",1
9b930448-22ba-4999-924c-bb46061be26d,Hyder Ali,"I recently lost ₹315 while booking a train ticket on IRCTC. The system showed “available seats” but after payment it became “Waiting List”. When I cancelled, IRCTC deducted ₹60 per person — without ever telling me the refund rules clearly before booking. As passengers, we deserve transparency. IRCTC should show all important details before payment, like: Whether the ticket will be Confirmed / RAC / WL Exact refund deduction in case of cancellation Realistic confirmation chances",1
5a6706a7-db12-424e-8e1f-60e3535c20be,Rahul Gaur,nothing works on this app,1
ccf6c4c7-4236-4745-bd16-8c3c2e82448e,Dr. Ritwick Banerjee,All the software engineers who made this App deserve a standing ovation. This is what happens when engineering students don't study properly. This App is a perfect example of that. Nowadays a class 11-12 standard student can code better App than this ridiculously buggy and poor UI app.,1
743b4bdf-1d9c-43cd-90e3-22897644eb45,Narendrakumar Prajapati,why they don't have negative star marking worst app,1
6d247b48-0a10-47d2-b768-6be05ecf5e18,Maneesh Jaiswal,Good performance app,5
0e7afe52-b3e3-4233-8433-d451af50a822,Praveen Agrawal,"Bhikari GOVERNMENT ki GST VASOLI, 1 to Ticket k dynamic charges uske uper convinient fees vo bhi GST k sath, platroem fees, means public ki earning ko lootne ka koi tarika baki nahi chodo, or new new fees + Tax add ker do pure rail staff ki fees bhi add ker do, public ki pocket me kuch bhi ₹ mat chodo. sab kha lo, in case railway jab khud train cancel kare to usme bhi refund pe GST please add 4 other convinient charges + GST there also. 👎👎👎👎👎👎👎👎",1
62f69d7f-6c69-47ba-94ad-675bb6b28c8c,Parthiban J Krishnan,"I can't add money in wallet because the maximum amount is zero. During TKT booking I'm always getting waiting list, while payment it is showing ticket availability in double digit but after paying it takes 5 mins to show result as waiting list in double digit.",1
48830a83-0cfd-4ba1-b052-f4b588ce49dc,Deepanshu Sharma,app is lagging so much... whenever i start the app and search for train booking the app lags and i have to restart the app for booking,1
f2bab6fd-3db3-4362-99eb-c07f562b99a2,Stym,"worst application , doesn't run smoothly",1
8c276b59-9992-453e-a1ea-0622bce58f81,Aman Roy,Very Bad Application,1
3d5fb0db-9428-43bf-b1ec-894d8c7a2ed2,Priyansh Vashi,Excellent updates daily.,5
6eb540dc-8bbe-428a-99f1-a563b6b9e1bc,Manish Yadav,bakwas hai irctc payment kat ta hai or servar down,1
c387a118-c04a-44c4-8c3f-8c82ce62e1b2,Raj Indulkar,"Last night me and my wife, Travelled from Kolhapur to Mumbai in Mahalaxmi express - S3 seat numbers 73 &76. would like the authorities know that the toilets in this compartments (both sides) were very dirty.. many people, especially ladies refused to use the toilet. Its the same story always, the tiles stinks, expecially when you have your seat at the entrance of the bogey. the authorities should take note and keep the toilets clean.",2
b2f9aa9a-2914-4abf-92d1-c668483d4572,ANIL SONI,app not opening,1
347bc3a3-6ac2-4a1b-95a8-306f70f93203,Shahajan Choudhury,Worst Performance very very disappointing.,1
0f89a1aa-d55d-4b98-b20f-c587946d9978,Gagan Sahu,"It is a useless app, it keeps loading all the time. Sometimes this app does not work",1
27595813-1285-4165-9724-fed159274793,sudhakar jayaraj,The app does not open easily and it is buffering all the time especially these last two days,2
c0423092-2f5d-4e88-a554-2217b9a81a47,Abhishek Pandey,"Worst app...what you can expect with the government app.. Every time when I try to book a tatkal ticket it shows that ''This site is currently unreachable"" or ""Unable to process requests """,1
d531cd77-6764-4ced-abb8-241f5e0c68e6,Yogesh Kumar Sharma,not open after one day or two days use to irctc for login train confirm ticket.via PIN no.,5
adb7c411-2b4b-4cd5-bd20-0e3634e91583,baghudana subramanyam,"Very poor experience. There is a prompt to change one's password. When I switch to my mail to check the password screen refreshes, making it impossible to change the password.",1
18f829c7-4a72-40fb-8127-753f6a6dda0a,K J,worst ever,1
eacc8a3c-224d-4b68-b66d-a80f651a1c1c,Rohit Sonvane,"worst experience, I was trying to authenticate aadhar from last 1 month and app keep saying ""error processing your request"". but when I tried from laptop the error was my name on aadhar was not matching with irctc account name. even after knowing it I was not able to authenticate because I exhausted my aadhar authenticate requests. why can't you just display error message on app properly just like website .",1
355f1889-fcd2-4867-b8af-99ab22798316,Nitesh Kumar,Very Helpful App,5
8e3aa4e5-0b5a-4d66-9318-0fe1419a554a,Md Rustam,This app is best than other app,5
f425d981-6c9a-43a6-a75d-3a42d5504cc5,Rupesh Dhage,Very poor app. Most of the time not loading after validating pin stage. Poor response from customer care.,1
4f8ac470-e163-4637-8a6c-7524ba83af8b,SAURABH SAHANI,You can never book Tatkal Tickets from this App. Application server gets overloaded and Error Message Appears on screen during Tatkal booking time. Application of No Use.,1
0a2cd63e-d0c1-4898-bd4d-f24dbc04b83a,Amit Yadav,after a long time irctc has created a new history they have there own problem centre now this time they a new one ( there seems to be a connection issue with your request . please try after some time. one more issue is ip address 😀) dalal se earning he karni hai toh app mtt banao na,1
3c3df42d-f7fc-4bb0-8946-ea421bdb59e3,Sujeet Chourasia,"One can never book a tatkal ticket from this app Even after verifying my aadhar I am not able to book tatkal ticket. Money will be deducted from account but the app will show nothing ,after few minutes it says your session expired. It happens every time they will TAKE YOUR MONEY AND RETURN IT AFTER 2 TO 3 DAYS YOU DON'T GET YOUR TICKET + YOUR MONEY WILL GET STUCK FOR 2 TO 3 DAYS. If you can't give tatkal ticket why even bother to give us the option for tatkal booking.",1
87fa9a77-2b0e-40a8-9eb7-dfbc1ea82b51,kunal patil,Bhangar application....,1
240475d9-f1c8-4a1b-b09c-5af6643118e9,Adesh,useless app,1
2ab0dad9-8bba-44de-9c5a-ece941e1d5fb,Anshuman Trivedi,"Very poor app for e ticketing.During tatkal hour, booking is not possible than what is the need of this app? Now the time is came to completely privatised the ticket booking process. After complete privatisation of ticketing process it becomes easy for everyone.",1
a4d06512-4d4c-491b-8a44-d7ab758302f0,Kiran M,"Worst app ever! Keeps logging out again and again during Tatkal booking. Payment fails, shows “IP blocked,” and money gets deducted but no ticket booked. Takes 15 mins for one ticket, always goes to waiting list. Horrible experience, useless app, needs serious fixing! 😡",1
625586a5-efa9-49fb-8645-ca36e062bd6f,Kanchan Singh,worst App,1
dd4860da-004b-4e40-9ab8-a42d5dab4866,Priyanshu Vishwakarma,worst app ever seen,1
2b1003af-8a17-49ed-8fe2-db041e3cb7ce,SAKET SAURABH,it's fabricated,1
e48d3615-71f1-4a7c-ba6b-d129a51c845d,I H,IRCTC interface very bad and ticket booking 2 month waiting waiting waiting,1
d6bbcf5c-12dd-4da2-9132-c27e926cb3a1,Life style,"very bad experience This is all the fault of the railway people. India has progressed so much in development, still these people deliberately spoil their server. Improve it. While booking Tatkal ticket, they are logout. This is very wrong for us middle class people. 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡",1
235b7c55-d75b-4f7e-9a36-36a39f98d525,Yash Raj,"fix your server,wrost app",1
c7cdca72-90f7-41e8-9435-68f39f6505f8,Mandar Thuse,Not working asking password change again and again very bad experiance,1
37f39a44-7bd7-47f7-acc8-ecf2525f0959,Pranav Sarode,Very useful for booking tickets and checking status,5
3520822f-7077-4018-92f0-e3c4b26602e3,Devprasath Gunasekar,verryyy worst server ever I have been seen worst appp,1
5cb621eb-4b86-4ff4-b748-fd2ef9cde477,Sanjay,now it is not even logging in. pathetic app,1
46e5c142-d051-4bd8-b765-5945ff8e7601,NINAD SHAH,Biometric opp not available now login problem from last one month all time sow validating pin,1
5b9ee63c-0650-484b-a530-75717e94a938,Anjanikumar Pandey,take too much time for login. Every time the cache cleared required.,1
f17a330a-1521-4251-b60d-662d359d92df,Raja Biswas,always server unavailable disgusting app,1
a1fecff0-f6a3-4690-bf4c-20376b9f5d4a,Pawan Kumar Pandit,Does not work.,1
9c6c3f29-cf6d-4d65-9874-8ae692704e8f,Himanshu Verma,"the worst UI the worst experience. You guys should get your app developed from a professional not a freelancer. Edit after 2 yrs - Still the same thing. ""The worst app in the world"" award goes to IRCTC rail connect. Kudos you have kept the spot unchanged for many years.",1
bcc08c5d-926a-447e-8fb4-24d7c82355d1,Sayak Chakraborty,don't use cheap software engineer,1
553bd4e4-a5c2-4a2c-a113-cb475854a34b,Roy,"Edit: If there was an option for a star lower than 1 I would give that! First of all I hate the tatkal system. The tatkal system is so good that an error message keeps popping up saying I have a connection error but my wifi even with a speed of 300mbps can't help getting a tatkal ticket but the ads keep running. How nice, IRCTC. I spam the next button only to see another pop up saying 'unable to identify client requests' and logs me out. Adhaar link for stealing passenger data and display ads?",1
4f286b9c-70c2-4bf2-bdf2-6b3f6e30d41d,Pawan Jain,Good application,1
