review,date,label
not able to login its taking to much of time,2025-08-19,0
last couple of days i am trying to open the app but it isnt opening,2024-01-29,0
worst application,2024-11-06,0
when i update app i faced login issue not working properly automatically backed   time trying then login i not booked tatkal ticket booking normal time is not working automatically backed,2024-09-16,0
this is disgusting the password or username is not matching or when i forgot or change the password its proper not change and give phone number reason or email reason extra extra,2025-07-29,0
good,2024-11-08,2
login is not happening even though i tried with otppin  biometricin a month able to login only  times,2024-02-20,0
ek saptah se try kar raha hu  kbhi login nhi hota hai fir jaise lgta hai server hamesa hi down rahta hai  worst app hai ya koi scam chal raha hai yaha ,2024-06-17,0
it worked fine beforebut after the latest updateit just doesnt log in i have set biometric as well as  digi pinit just says validating pin endlessly why i have to uninstall and then reinstall itthen works for some then and the problem repeatsvalidating pins round and roundit wont open,2024-06-30,0
trying to log in but app does not let me login after the new update please help,2025-07-16,0
the app is not working properly every time it has some issues after the maintenance yesterday i faced login issues i had gotten less refund from irctc due to their technical glitches and site problems i was not able to cancel the ticket before due to the login issues in the application and website both i have contacted their support and query feature as well but no response even after sending mails or raising queries,2024-05-19,0
worst app rubbish   app         book     connection error     bug     ,2024-05-04,0
best of booking tickets,2024-01-22,2
facing problem to logintakes long time to login and performance has been degraded,2024-12-29,0
it is a useless app it keeps loading all the time sometimes this app does not work,2024-01-17,0
pathetic app its just stuck at login page,2024-09-25,0
best aps,2025-04-05,2
not working properly,2025-01-31,0
good ,2024-03-05,2
it takes too much time to login,2025-02-17,0
sahi hai,2025-04-24,0
it very nice platform,2024-11-09,2
fix your serverwrost app,2024-08-29,0
now days i couldnt book tatkal ticket through this app whenever i try getting error stating  this site is currently unreachable please try aftersometime note earlier i used to book tatkal ticket using this app,2025-08-12,0
not log very fast,2025-06-06,0
 app doesnt move fwd from validating pin page its latest versionx rating is because of too many advertisements as such app is good and helpful have a way to resend text message,2024-06-02,0
validating pin just loading all the time could not even able to login into account,2024-11-21,0
worst app to use for booking a tatkal ticket also login issues everytime these people are ready for charging the ticket fare even it is not confirmed also but can not make an app without being hanged please do not use this app atleast you can use redbus app for booking train tickets,2024-06-21,0
third class management i m not give  starpoor poor poor,2024-08-11,0
bahut slow kam karta hai,2024-09-06,0
is anything problem since last  days app not opening,2024-09-28,0
worst performance very very disappointing,2025-08-05,0
irctc app does not go further after the validating pin option and it has been more than a week rotating round and round and cant login after uninstalling and installing it again its going fine and it is a repeatedly harassing process,2024-03-25,0
doesnt go beyond pin validation the screen only keeps running at validating pin and then time out happens and again asks for pin validation horrible experience,2025-01-17,0
not able to login from last  days is there any issue,2024-10-30,2
it will search trains after the holidays are completed and may be sold to private companies,2025-01-06,0
not good,2025-01-11,0
not able to login using biometric it pin it was working before few days stuck at validating pin,2024-06-17,0
why its not logging in its showing validating pin not a server issue manage the app properly,2025-07-14,0
while redirecting from payment app to irctc app for the booking tatkal ticket irctc app got logged out and ticket was not booked,2024-09-09,0
i am not able to login to the irctc mobile app it kept on checking credentials always,2024-01-30,0
the app has suddenly slowed down unable to even log in,2024-10-08,0
very good,2024-08-16,2
kya naatak hai re tumlog kakahan se laau naya naya password baar baarchange password change passwordgame chal raha hai kya,2024-06-06,0
apps so ,2024-02-18,0
do not let me book ticket in these dayskeeps spinning even the biometric or key is successful losing patience literally utter pathetic experience,2025-08-31,0
these days the app doesnt let you login easily it shows validating pin for a long time and finally will not permit to login the issue has been observed since past  weeks and is still not resolved moreover now a days the website through which tickets can be booked is also not easily accessible sometimes the relevant url to book tickets may not be available quite disappointing,2024-12-05,0
edit  this seems to be an intermittent issue i was able to proceed on further qttempts validating pin and availability check action just keeps loading for ever this week the app has been unusable request immediate resolution it is not a network issue but an irctc app issue with the browser it works fine,2024-11-30,1
very good,2024-05-17,2
app is not opening showing validate pin,2025-04-02,0
this was such a superb app before now its not working,2024-06-20,0
from last  days i am trying to cancel my online ticket but not able to login app not working,2024-04-08,0
super,2025-03-16,2
play store ka subse ghatiya aap,2024-03-05,0
very bad experiencing this app not properly working at the time of tatkal booking thats why my tatkal booking always leave,2025-05-10,0
poor quality ,2025-09-22,0
unable to login after trying many times,2025-03-18,0
excellent,2025-08-22,2
tatkal servel is very slow and,2024-05-22,0
good experience,2024-01-07,2
my account was blocked with the reason provided as multiple fraudulent activities when i rarely even use irctc after multiple followups that went for months they still didnt unblock the account dont know how their fraud detection works but the system is very bad i had to create a new account with a new contact number and email and now this app is not even working for me,2024-07-11,0
i am using this app since  and now a days this app has become worst and the number of tickets also are not showing what about this kind of glitch in an official app then how i will book the ticket from this ,2024-08-29,0
good performance app,2025-05-11,2
good,2024-10-09,2
really great app and very big changes,2024-01-14,2
app isnt opening,2024-08-31,0
good,2025-03-16,2
irctc aap work is not properly,2024-05-18,0
very slow and it keeps asking for the unlock code,2025-10-21,0
past  weeks i am not able to login at all it is saying checking please wait then closes,2024-09-29,0
its keep on loading,2025-06-27,0
excellent,2025-01-02,2
worst app,2024-11-15,0
